full_name,epoch_mjd,a,e,i,om,w,ma,per_y
 13475 Orestes (1973 SX),57400,5.176005459,0.073883785,7.940864973,353.4652256,123.4973314,103.5552512,11.77606762
 13650 Perimedes (1996 TN49),57400,5.209752374,0.097606196,10.71413692,206.8464862,244.8825541,153.8511961,11.89142289
 13694 (1997 WW7),57400,5.245267439,0.068800709,5.647477907,249.7860829,165.5355968,201.6025012,12.01322626
 13780 (1998 UZ8),57400,5.18066923,0.09381524,8.248044507,25.24381171,50.83291182,129.6709814,11.79198721
 13782 (1998 UM18),57400,5.180757816,0.132878719,28.58365369,150.1651449,232.501302,204.1389886,11.79228966
 13790 (1998 UF31),57400,5.266219649,0.112555266,7.973396632,67.25783574,55.43126636,105.5066024,12.0852783
 13862 (1999 XT160),57400,5.288129799,0.084202658,8.387709451,132.1978503,277.9009402,163.0928642,12.16077805
 14235 (1999 XA187),57400,5.127009236,0.084079635,8.676511357,41.40724181,26.18331651,170.3322051,11.60925503
 14268 (2000 AK156),57400,5.249162746,0.088590348,14.96467891,284.5843263,125.0432228,154.6189521,12.02661087
 14518 (1996 RZ30),57400,5.273486567,0.144325259,6.475184262,179.10931,253.6631086,148.3842782,12.11030186
 14690 (2000 AR25),57400,5.202217147,0.030311187,4.448788193,1.505598893,5.591285754,222.2794701,11.86563314
 14707 (2000 CC20),57400,5.219510475,0.041132253,13.66493046,156.0703462,289.5117053,169.7324377,11.92484829
 14791 Atreus (1973 SU),57400,5.147211897,0.160136333,2.936806124,194.8070218,185.4747755,206.6849981,11.67794091
 14792 Thyestes (1973 SG1),57400,5.16848934,0.082203472,11.36788003,154.7953115,245.4514243,194.4943909,11.75042675
 15033 (1998 VY29),57400,5.18192799,0.202209263,12.02522773,258.4231358,164.6762332,162.1489723,11.79628516
 15094 Polymele (1999 WB2),57400,5.162336884,0.094733859,12.99684568,50.33902246,5.055237335,185.7885556,11.72945182
 15398 (1997 UZ23),57400,5.126777665,0.02656852,28.47349279,189.6048587,319.0115228,73.15355538,11.60846851
