rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,rowupdate
1332,Kepler-1450,b,Transit,1,54.50941660,,,,,,0.153,,0,1,0,1,19h38m12.92s,294.553828,+45d04m53.0s,45.081390,490.00,15.498,Kepler-band,4524.00,0.71,0.68,2016-05-10
1333,Kepler-1451,b,Transit,1,35.62223300,,,,,,0.299,,0,1,0,1,19h33m47.14s,293.446425,+40d24m35.6s,40.409892,1159.00,15.332,Kepler-band,5782.00,1.00,0.99,2016-05-10
1334,Kepler-1452,b,Transit,1,42.91375100,,,,,,0.241,,0,1,0,1,19h29m41.48s,292.422830,+38d15m58.8s,38.266328,974.00,13.062,Kepler-band,6101.00,1.41,2.06,2016-05-10
1335,Kepler-1453,b,Transit,1,47.16116960,,,,,,0.238,,0,1,0,1,19h04m30.13s,286.125545,+47d56m51.4s,47.947613,1284.00,15.570,Kepler-band,5665.00,0.97,0.94,2016-05-10
1336,Kepler-1454,b,Transit,1,47.03194790,,,,,,0.168,,0,1,0,1,18h56m53.60s,284.223331,+48d49m54.4s,48.831772,795.00,14.904,Kepler-band,5448.00,0.90,0.86,2016-05-10
1337,Kepler-1455,b,Transit,1,49.27676400,,,,,,0.193,,0,1,0,1,19h36m19.93s,294.083055,+50d30m10.0s,50.502777,392.00,15.855,Kepler-band,4075.00,0.62,0.60,2016-05-10
1338,Kepler-1456,b,Transit,1,18.13738290,,,,,,0.102,,0,1,0,1,19h07m46.88s,286.945321,+43d49m22.0s,43.822773,379.00,15.464,Kepler-band,4231.00,0.64,0.62,2016-05-10
1339,Kepler-1457,b,Transit,1,51.11102430,,,,,,0.178,,0,1,0,1,18h55m04.94s,283.770601,+42d01m38.1s,42.027245,728.00,14.060,Kepler-band,5866.00,1.01,1.01,2016-05-10
1340,Kepler-1458,b,Transit,1,47.98727640,,,,,,0.246,,0,1,0,1,18h52m50.79s,283.211614,+41d02m17.0s,41.038063,642.00,14.190,Kepler-band,5653.00,0.96,0.94,2016-05-10
1341,Kepler-1459,b,Transit,1,62.86916110,,,,,,0.121,,0,1,0,1,18h49m41.53s,282.423025,+46d00m50.5s,46.014019,435.00,14.591,Kepler-band,4828.00,0.78,0.74,2016-05-10
1342,Kepler-146,b,Transit,2,31.15879900,0.200000,,,,,0.331,,0,1,0,1,19h36m26.58s,294.110756,+38d42m36.8s,38.710230,,13.838,Kepler-band,5948.00,,1.21,2014-05-14
1343,Kepler-146,c,Transit,2,76.73217100,0.364000,,,,,0.279,,0,1,0,1,19h36m26.58s,294.110756,+38d42m36.8s,38.710230,,13.838,Kepler-band,5948.00,,1.21,2014-05-14
1344,Kepler-1460,b,Transit,1,29.96332470,,,,,,0.175,,0,1,0,1,19h02m13.87s,285.557796,+44d00m38.8s,44.010788,574.00,15.947,Kepler-band,4422.00,0.70,0.67,2016-05-10
1345,Kepler-1461,b,Transit,1,29.34947750,,,,,,0.181,,0,1,0,1,19h03m19.31s,285.830458,+43d11m54.2s,43.198395,752.00,15.689,Kepler-band,4919.00,0.79,0.74,2016-05-10
1346,Kepler-1462,b,Transit,1,65.64883410,,,,,,0.341,,0,1,0,1,19h45m35.41s,296.397527,+42d23m48.9s,42.396918,1368.00,15.858,Kepler-band,5756.00,1.00,1.00,2016-05-10
1347,Kepler-1463,b,Transit,1,25.15864000,,,,,,0.166,,0,1,0,1,19h37m56.95s,294.487304,+42d00m24.9s,42.006920,1341.00,15.759,Kepler-band,5679.00,0.96,0.95,2016-05-10
1348,Kepler-1464,b,Transit,2,31.77859010,,,,,,0.148,,0,1,0,1,19h08m56.56s,287.235677,+38d45m15.0s,38.754161,692.00,14.159,Kepler-band,5828.00,1.02,1.01,2016-05-10
