id,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,rowupdate
734,Kepler-102,b,Transit,5,5.28696,,,,0.001,Mass,0.042,23.29,0,1,0,,18h45m55.86s,281.482749,+47d12m28.9s,47.208031,,11.492,Kepler-band,4909,0.81,0.76,14/05/14
735,Kepler-102,c,Transit,5,7.07142,,,,0.009,Mass,0.052,,0,1,0,,18h45m55.86s,281.482749,+47d12m28.9s,47.208031,,11.492,Kepler-band,4909,0.81,0.76,14/05/14
736,Kepler-102,d,Transit,5,10.3117,,,,0.012,Mass,0.105,13.27,0,1,0,,18h45m55.86s,281.482749,+47d12m28.9s,47.208031,,11.492,Kepler-band,4909,0.81,0.76,14/05/14
737,Kepler-102,e,Transit,5,16.1457,,,,0.028,Mass,0.198,4.68,0,1,0,,18h45m55.86s,281.482749,+47d12m28.9s,47.208031,,11.492,Kepler-band,4909,0.81,0.76,14/05/14
738,Kepler-102,f,Transit,5,27.4536,,,,0.002,Mass,0.079,4.92,0,1,0,,18h45m55.86s,281.482749,+47d12m28.9s,47.208031,,11.492,Kepler-band,4909,0.81,0.76,14/05/14
739,Kepler-103,b,Transit,2,15.9654,,,,0.031,Mass,0.301,1.38,1,1,0,,19h15m56.29s,288.984555,+40d03m52.3s,40.064521,,12.287,Kepler-band,5845,1.09,1.44,14/05/14
740,Kepler-103,c,Transit,2,179.612,,,,0.114,Mass,0.459,1.47,1,1,0,,19h15m56.29s,288.984555,+40d03m52.3s,40.064521,,12.287,Kepler-band,5845,1.09,1.44,14/05/14
741,Kepler-104,b,Transit,3,11.427548,0.094,,,,,0.277,,0,1,0,,19h10m25.11s,287.604612,+42d10m00.4s,42.166779,,12.596,Kepler-band,5711,0.81,1.35,14/05/14
742,Kepler-104,c,Transit,3,23.668205,0.153,,,,,0.279,,0,1,0,,19h10m25.11s,287.604612,+42d10m00.4s,42.166779,,12.596,Kepler-band,5711,0.81,1.35,14/05/14
743,Kepler-104,d,Transit,3,51.755394,0.257,,,,,0.319,,0,1,0,,19h10m25.11s,287.604612,+42d10m00.4s,42.166779,,12.596,Kepler-band,5711,0.81,1.35,14/05/14
